Recombination Event Number; Number In .RDP File; Begin; End;Begin; End;Begin; End; Recombinant Sequence(s); Minor Parental Sequence(s); Major Parental Sequence(s); RDP; GENECONV; Bootscan; Maxchi; Chimaera; SiSscan;PhylPro; LARD; 3Seq
270;361;3388;56;3388;56;3385;56;^KY792585_India_1996;MN580136_China_1999;MG451805_United-Kingdom_2016; 1.63565557223407E-05;NS; 1.88309913011131E-04; 5.35138213653964E-08; 2.35510699640613E-06; 2.9051266803869E-08;NS;NS; 6.93134492024683E-08
271;371~;5169; 5291*;5169; 5291*;5156; 5278*;MG212454_Russia_Poliovirus-2;OQ286211_United-Kingdom_Poliovirus-1;MZ150565_China_Poliovirus-2; 6.21632716031987E-08; 5.0476501844976E-06;NS;NS;NS;NS;NS;NS; 3.54227460608669E-03
272;372; 968*; 2334*; 968*; 2332*; 968*; 2331*;^PP621655_Thailand_2019;OQ791511_USA_2009;MW183137_China_2007; 4.64753865168325E-10; .032330203508969;NS; 8.05415426597669E-13; 1.54748936476762E-14; 1.17483696721083E-14;NS;NS; 1.63088322168308E-19
273;373;3340;5396;3339;5395;3337;5383;^JQ397329_China_2010;KX610685_USA_2016;MZ394039_China_2016; 7.36871931299248E-07;NS; 8.60602651593276E-08; 1.43829159565904E-07; 1.05460200177741E-06; 1.44274914237157E-14;NS;NS;NS
274;374~;1176;1278;1174;1276;1176;1278;MH144606_India_Enterovirus-C99;OP207968_USA_2017;MH484166_Brazil_Enterovirus-C99; 9.15518673490017E-07;NS;NS;NS;NS; 1.77421849630094E-19;NS;NS; 2.10303436255943E-04
275;376~; 3377*; 3796*; 3369*; 3788*; 3374*; 3793*;^MH614925_China_2010;PP621675_Thailand_2019;Unknown (KF874627_China_1997); 3.86786541020679E-04;NS; 1.05244219378704E-03; .026615235477387; 4.81366575761732E-03; 6.0485528757236E-06;NS;NS;NS
276;377; 2888*;3286; 2883*;3281; 2885*;3283;^KX810066_USA_2013;JX476166_India_2010;Unknown (MK689070_Brazil_2014); 1.084813107229E-04; 6.82942722081528E-09;NS; 3.30851009112737E-05; 1.81451884283803E-03; 1.87747985785748E-11;NS;NS;NS
277;380;3846;4942;3839;4935;3843;4929;^MN815810_China_2018;KP289441_China_2013;OQ791511_USA_2009; 5.84912144794207E-03;NS;NS; 7.04106752692338E-04; 2.87310226033712E-02; 1.40031524498274E-11;NS;NS;NS
278;381;4358;4938;4344;4924;4355;4925;^KF874626_China_2004;MN496161_China_2003;KP266568_China_2009; 1.4543959745422E-03;NS; 5.44880625144719E-03; 2.77346771714597E-02; 5.18883653890051E-04; 1.81715945065904E-04;NS;NS;NS
279;382~;4766;6264;4766;6264;4753;6250;^MG451805_United-Kingdom_2016;MN181514_Nigeria_2014;OQ791573_USA_2018; 2.02133242778717E-05; 3.86750884050635E-09; 7.35917913207532E-04;NS;NS; 2.74745697280841E-04;NS;NS;NS
280;383; 6270*;4088; 6269*;4087; 6255*;4085;^KY369904_USA_2016;MN590273_France_2019;Unknown (MW183137_China_2007); 4.25413104319001E-04;NS; 5.81737623001172E-03; 1.93424116263868E-04; 3.3571032168208E-05; 2.9510533938038E-04;NS;NS; 3.13949114039147E-07
281;384;3772; 6282*;3765; 6275*;3769; 6266*;^MF678320_Australia_2008;MH745407_Nigeria_2014;Unknown (KP266571_China_2002); 3.20909511178856E-03;NS;NS; 2.76659384860685E-09; 9.11250364762217E-06; 2.33939617292082E-19;NS;NS;NS
282;386~;380;562;380;562;380;562;OR253701_USA_Poliovirus-1;HM185056_China_2008;FJ517648_Belarus_Poliovirus-2; 1.89948879553678E-02;NS;NS;NS;NS; 2.96669706493928E-36;NS;NS;NS
283;388;3892;5084;3892;5084;3889;5071;^KY941935_Pakistan_Poliovirus-1;Unknown (KJ170677_Nigeria_Poliovirus-3);KJ170530_Nigeria_Poliovirus-1; 2.81913724726914E-02;NS;NS; 8.9218178394818E-04; 2.97871478027908E-03; 1.52583057537868E-11;NS;NS;NS
284;389; 2810*;3792; 2803*;3785; 2807*;3789;^PP621614_Thailand_2019;PP621598_Nepal_2023;PP621613_Thailand_2019; 9.32895690802684E-05; 2.17185586978375E-02;NS; 2.67434371732056E-04; 1.53818335507275E-05; 1.40827882876395E-10;NS;NS;NS
285;391;3386;4128;3386;4128;3383;4125;^MW183137_China_2007;Unknown (PP461541_Thailand_2023);MN590273_France_2019; 9.87405206647072E-04;NS; 1.81682597348589E-03; 4.12646878926306E-04; 6.3677794790195E-04; 1.36599724197181E-02;NS;NS; 6.39164890171351E-03
286;404;6256;2711;6255;2711;6243;2708;^KF982854_China_2012;FJ360545_China_2008;Unknown (JF738001_Thailand_2009); .0105498877883;NS;NS; 4.10405796355804E-08; 8.24043065649282E-05; 5.22785103059045E-09;NS;NS;NS
287;433; 4630*; 4968*; 4630*; 4968*; 4618*; 4955*;^MW183139_China_2007;MK689070_Brazil_2014;MW183135_China_2007; 1.67582444107335E-24; 1.87961771813683E-06; 2.11902753000518E-21; 1.31826149902619E-09; 3.77762847808691E-05;NS;NS;NS; 1.87961595166097E-06
288;434;4191;4971;4191;4971;4188;4958;^MW183135_China_2007;PP621632_Thailand_2019;MW183137_China_2007; 1.10142031366332E-17;NS; 2.70906175648106E-19; 4.30952569403784E-21; 1.78727785092552E-11;NS;NS;NS; 9.60026765002286E-05
289;436;5176;5552;5176;5552;5163;5539;^MW183134_China_2007;Unknown (PP621664_Thailand_2019);MW183137_China_2007; 6.72108203440209E-04;NS;NS; 5.1250254666347E-21; 7.42097751318238E-11;NS;NS;NS;NS
290;454;6292;370;6292;370;6275;370;^MH716392_Viet-Nam_2013;MH716297_Viet-Nam_2013;MH716389_Viet-Nam_2013; 3.72690477973692E-14; 7.55019159714041E-13;NS;NS;NS;NS;NS;NS; 1.63090461136051E-07
291;458;6280;3864;6280;3864;6264;3861;HQ738303_Madagascar_Enterovirus-C;ON596434_Nigeria_Poliovirus-2;KF537633_Brazil_Poliovirus-1; 1.22204158441449E-62; 4.90033537292106E-49; 1.74920471862012E-09; 3.89380735359923E-36; 4.20115177724297E-20; 4.70231854896216E-79;NS;NS; 5.66739238094804E-07
292;459;3372;3942;3372;3942;3369;3939;KC897073_China_2012;KF990476_China_2012;KP289441_China_2013; 1.05088171296303E-27; 5.3381098785869E-18; 2.83740237248266E-26; 6.58170884417048E-11; 3.93687542680276E-12; 2.06698799019826E-14;NS;NS; 2.99160371781421E-19
293;460; 2818*; 3366*; 2818*; 3366*; 2815*; 3363*;^KC897073_China_2012;JX976773_China_2010;MH144607_India_2012; 1.66473626958115E-06;NS;NS; 7.11027474224421E-04; 1.19088715146465E-03; 1.09309706168233E-07;NS;NS; 4.5660213127352E-05
294;463;1382;2708;1382;2708;1382;2705;KF982854_China_2012;JX678886_China_2002;Unknown (LC627069_Viet-Nam_2015); 4.21193551280102E-05;NS;NS; 1.1017413E-192; 1.25938289122318E-06; 2.25761202834896E-88;NS;NS;NS
295;467;26; 2333*;26; 2333*;26; 2330*;^MZ394039_China_2016;PP621599_Nepal_2023;JQ041368_Russia_2011; 6.00920076843789E-28; 3.31439485188362E-10;NS; 5.00963750782553E-16; 3.38164380349254E-14; 1.34371876447013E-30;NS;NS; 2.8540832586188E-08
296;472;3846;4639;3846;4639;3843;4627;PP891439_China_2019;KP289441_China_2013;PP025903_Spain_2010; 4.69851764433987E-03;NS; 1.77308544188169E-02; 1.17784222436725E-04; 1.44522478127089E-04; 9.75258294857089E-17;NS;NS;NS
297;474;1103; 2643*;1103; 2643*;1103; 2640*;^KX162682_Central-African;KX162680_Cameroon_Poliovirus-1;ON596425_Nigeria_Poliovirus-2; 9.1362197271974E-07; 9.05893846680226E-12;NS; 4.81145840141965E-10; 3.63923662856254E-08; 9.54771711403325E-22;NS;NS;NS
298;483;93; 2375*;93; 2375*;93; 2372*;JX275280_Nigeria_Poliovirus-2;KX162717_Nigeria_Poliovirus-2;Unknown (OP137297_Israel_Poliovirus-3); 1.12543122291095E-52; 6.3808320043946E-59;NS; 1.18405717223116E-32; 3.04477991458838E-16; 5.0114489542942E-55;NS;NS;NS
299;484;6286; 3310*;6286; 3310*;6269; 3307*;^JX275189_Nigeria_Poliovirus-2;JX275280_Nigeria_Poliovirus-2;KX162680_Cameroon_Poliovirus-1; 4.19348768118534E-17; 3.79938103430661E-16; 2.43049885271706E-09; 4.7217331530978E-12; 3.36853520735971E-07; 2.31016517813212E-20;NS;NS;NS
300;485; 2976*; 3712*; 2976*; 3712*; 2973*; 3709*;JX275280_Nigeria_Poliovirus-2;JX275023_Nigeria_Poliovirus-2;JX275294_Nigeria_Poliovirus-2; 5.72011378424499E-12; 3.09610563250302E-09;NS; 2.15135431905051E-09; 2.91025399046345E-10; 9.89962921586804E-13;NS;NS;NS
301;492;6299;3202;6299;3202;6282;3199;^JX843810_China_2009;MK791148_China_2001;OQ791511_USA_2009; 2.26164656893266E-33; 1.44905367309693E-37;NS; 6.34023568548962E-28; 3.81514502882538E-18;NS;NS;NS; 1.87553869746004E-06
302;495;4946; 5666*;4946; 5666*;4933; 5653*;ON502336_China_2017;ON502371_China_2018;ON502207_China_2017; 2.89242839854444E-09;NS; 1.70720198330947E-07; 9.39832349403365E-04; 4.08985643143448E-04; 1.23639423418531E-03;NS;NS; 2.27424583676111E-02
303;497; 2860*;3520; 2844*;3504; 2857*;3517;^GU550508_China_1999;OQ919474_South-Korea_2002;Unknown (OQ842430_USA_2009); 6.44763597363222E-08;NS; 1.24256034814379E-05; 3.56495789452926E-05; 3.7891249749123E-07;NS;NS;NS;NS
304;503~; 2789*;3274; 2787*;3272; 2786*;3271;^KT353723_Taiwan_2008;OQ919474_South-Korea_2002;MG451804_United-Kingdom_2016; 3.14082922139906E-04;NS;NS; 6.04969873808105E-03; 9.07186386761027E-05;NS;NS;NS; 8.56629048007207E-06
305;505~;2296;2730;2296;2730;2293;2727;^OQ919474_South-Korea_2002;MH118024_India_2017;MT081378_Japan_1971; 1.28120995290723E-02;NS;NS;NS;NS; 4.52055151149533E-08;NS;NS;NS
306;506~;3172; 5061*;3172; 5061*;3169; 5048*;^OQ919474_South-Korea_2002;Unknown (PP621649_Thailand_2018);MK689070_Brazil_2014; 3.37479897566871E-02;NS; 2.72483407559109E-04; 4.39029709781592E-06; 8.89473822875183E-05; 1.0119501764215E-14;NS;NS;NS
307;508; 3283*; 5082*; 3283*; 5081*; 3280*; 5069*;KF982854_China_2012;KP274876_Taiwan_2011;HQ647173_Canada_2006; 1.14706211349697E-05; 3.75568821845418E-04;NS; 1.14431907421989E-04; 4.26537676973202E-05;NS;NS;NS;NS
308;509; 6300*;2978; 6294*;2972; 6283*;2975;^MH752986_USA_2004;JQ801739_China_2009;Unknown (MW481633_China_2010); 9.55724230274395E-08;NS;NS; 8.20024362157569E-06; 8.49972663510005E-05;NS;NS;NS; 4.07726186146817E-09
309;510; 6282*;3448; 6279*;3445; 6266*;3445;^KP289441_China_2013;Unknown (HM031191_China_2008);MW481633_China_2010; 4.94790757331501E-07;NS;NS; 1.2310682252885E-06; 2.07173360728486E-03;NS;NS;NS;NS
310;511;5282; 6292*;5282; 6292*;5269; 6275*;MH144607_India_2012;KP289436_China_2013;PP621220_Thailand_2019; .01060585328599;NS;NS; 1.15661561739633E-05; 3.34088150008148E-06; 1.14949315753626E-05;NS;NS; 2.60944725050116E-07
311;512; 3953*;6280; 3953*;6280; 3950*;6264;JQ801739_China_2009;MW481633_China_2010;KF990476_China_2012; 1.52210088848573E-02;NS;NS; 1.32562855607647E-10; 5.92344166316167E-08; 1.93450333376742E-26;NS;NS; 3.77961460285015E-06
312;514; 2818*;3258; 2818*;3258; 2815*;3255;^MW481633_China_2010;Unknown (JX976773_China_2010);KP289434_China_2013; 1.97815992326391E-02;NS;NS; 9.4902689233489E-03; 7.28814051526086E-03;NS;NS;NS; 2.28716385371475E-04
313;518; 92*;2472; 92*;2472; 92*;2469;JX275066_Nigeria_Poliovirus-2;FJ517648_Belarus_Poliovirus-2;KY941933_Nigeria_Poliovirus-3; 2.99879388672418E-31; 1.09243536462652E-37;NS; 1.30417832192678E-28; 2.69761234888465E-15; 4.61254580640773E-61;NS;NS; 4.07726186146817E-09
314;519; 50*;3006; 50*;3006; 50*;3003;^JX275028_Nigeria_Poliovirus-2;JX275321_Nigeria_Poliovirus-2;KX162712_Nigeria_Poliovirus-2; 1.19751280371542E-02; 8.0705321285901E-05; 1.61142685107015E-02; 7.56088567124714E-04; 5.05584308972584E-04; 4.95899368185776E-06;NS;NS;NS
315;523~;5128;5318;5128;5318;5115;5305;JX961709_Israel_enterovirus-C118;FJ769385_China_Poliovirus-1;Unknown (KX162712_Nigeria_Poliovirus-2); 2.12268450817842E-03;NS;NS;NS;NS; 2.66275315810142E-20;NS;NS;NS
316;529;4674;6127;4674;6127;4662;6114;^PP621219_Thailand_2019;KX641241_China_2013;PP621598_Nepal_2023; 1.98375060940848E-06;NS; 1.05018550951932E-05; 1.62508248741959E-08; 9.44104583141946E-09; 6.98299171988105E-12;NS;NS; 5.93647564939292E-06
317;530;3452;3897;3452;3897;3449;3894;^KX641241_China_2013;Unknown (MZ229657_China_2019);KP289441_China_2013; 3.66932053199282E-04;NS;NS; 2.91866693790714E-04; 1.95830550144224E-05; 1.301741565323E-04;NS;NS; 1.74913004111765E-05
318;533;6291;2764;6291;2764;6274;2761;KX162689_Chad_Poliovirus-2;MN541115_Russia_Poliovirus-2;OP137286_Israel_Poliovirus-3; 1.83182673778159E-20; 1.6333904231505E-22;NS; 7.54337545817688E-08; 1.04925689455433E-05; 1.20552833003641E-11;NS;NS; 4.73456323781974E-02
319;534;5964; 13*;5964; 13*;5951; 13*;MG212487_Russia_Poliovirus-2;KJ170677_Nigeria_Poliovirus-3;ON596436_Nigeria_Poliovirus-2; 1.40166813394088E-33; 5.14215806841782E-32; 3.05273493666783E-26; 5.83777984789868E-05; 5.78683936056972E-05; 9.81095830423157E-07;NS;NS; 4.49448519594788E-22
320;536; 2781*; 3845*; 2781*; 3845*; 2778*; 3842*;^KP289439_China_2013;OR095794_China_2020;JX976771_China_2011; 2.05343333147678E-37; 7.02042576242084E-11; 2.79828602917705E-35; 1.89726382115072E-17; 1.37942641677976E-16; 7.35175940387837E-15;NS;NS;NS
321;541;3102; 4070*;3102; 4070*;3099; 4067*;^OQ842414_USA_2009;OQ791514_USA_2009;MH043136_Finland_2007; 9.00442502798559E-24;NS; 2.89707358294444E-22; 2.20281921143871E-14; 1.19981076685527E-12;NS;NS;NS; 2.1479663908271E-17
322;543;3206;3833;3206;3833;3203;3830;^MZ394039_China_2016;OQ842418_USA_2011;KP266570_China_2001; 2.75059374477782E-10;NS; 2.02347282549472E-04; 2.00789757152612E-09; 1.3354468380422E-05;NS;NS;NS; 7.33390969210879E-05
323;544;3240; 3793*;3240; 3793*;3237; 3790*;^MG451805_United-Kingdom_2016;OQ842418_USA_2011;KP266570_China_2001; 4.1684914037379E-08;NS; 2.61696036466971E-06;NS;NS;NS;NS;NS; 4.26480681281483E-06
324;550;3744; 4067*;3744; 4067*;3741; 4064*;MN808793_China_2019;JX843811_China_2009;PP891443_China_2022; 1.85927316376945E-17;NS; 1.14278371372096E-16; 8.61524356810119E-09; 2.95821310060025E-03;NS;NS;NS;NS
325;556;4342;5076;4342;5076;4339;5063;^MN914200_Malawi_Enterovirus-C;MN914202_Malawi_Enterovirus-C;Unknown (MN914201_Malawi_Enterovirus-C); 5.76294282134636E-05;NS;NS; 1.09709458183076E-08; 1.18709585959891E-09;NS;NS;NS;NS
326;582~;908;1080;905;1077;908;1080;^PP621691_Nepal_2023;ON596423_Nigeria_Poliovirus-2;JX843811_China_2009; 3.82200961394441E-02;NS;NS;NS;NS; 1.03826892045688E-11;NS;NS;NS
327;583;92;2482;92;2482;92;2479;JX275366_Nigeria_Poliovirus-2;KF656732_China_Poliovirus-2;KY941933_Nigeria_Poliovirus-3; 1.47435185480695E-52; 8.60468155194232E-58; 6.22241695312751E-16; 9.47828183770378E-31; 5.79814835149679E-25; 9.60543968379106E-51;NS;NS; 5.8590081308818E-06
328;587;3398;4633;3398;4633;3395;4621;OP672300_China_2010;Unknown (HM031191_China_2008);JX843811_China_2009; 5.8960247439709E-11;NS; 1.09360207508334E-08; 1.85356073456055E-15; 2.19765489246619E-12; 8.10907643406851E-25;NS;NS; 6.97009133819487E-17
329;588;2615; 3271*;2615; 3271*;2612; 3268*;^OP672300_China_2010;OP441393_China_2018;HM031191_China_2008; 2.66021739093303E-04;NS;NS; 9.36872070241597E-04; 1.72868639858963E-03; 3.73280540635464E-11;NS;NS;NS
330;590;2951;4093;2951;4093;2948;4090;^JX275195_Nigeria_Poliovirus-2;JX275036_Nigeria_Poliovirus-2;JX275377_Nigeria_Poliovirus-2; 1.04174847452768E-02;NS; 1.24884926935935E-02; 8.02936859427245E-05; 1.4792890433754E-03; 6.06811168453981E-12;NS;NS;NS
331;594; 6300*; 2787*; 6300*; 2787*; 6283*; 2784*;^JX275293_Nigeria_Poliovirus-2;JX275319_Nigeria_Poliovirus-2;OQ401876_Spain_Enterovirus-C; 7.34259351560487E-10; 3.54798149495151E-10; 6.55302424934589E-07; 1.16388752696911E-06; 5.69959982324689E-05; 2.76073257868703E-13;NS;NS;NS
332;595~;6057;6194;6048;6185;6044;6181;^KC292019_China_2000;JX274980_Nigeria_Poliovirus-2;Unknown (JX275233_Nigeria_Poliovirus-2); 2.4357091523847E-03;NS;NS;NS;NS; 5.6175113561928E-40;NS;NS;NS
333;605; 6300*; 4318*; 6300*; 4318*; 6283*; 4315*;^JX275336_Nigeria_Poliovirus-2;JX275243_Nigeria_Poliovirus-2;Unknown (OQ401876_Spain_Enterovirus-C); 8.71885049641837E-06; 5.99765219821968E-06;NS; 4.14985679371618E-06; 2.77668690903342E-04;NS;NS;NS;NS
334;606;2483;2828;2483;2828;2480;2825;^JX275243_Nigeria_Poliovirus-2;JX275151_Nigeria_Poliovirus-2;Unknown (KX162712_Nigeria_Poliovirus-2); 4.71080702744891E-03; 6.36052850389035E-07;NS; 5.73271449195255E-04; 1.35004913423413E-03; 2.65957585467861E-10;NS;NS;NS
335;607; 2779*;2990; 2779*;2990; 2776*;2987;^JX275210_Nigeria_Poliovirus-2;JX275189_Nigeria_Poliovirus-2;JX275281_Nigeria_Poliovirus-2; 4.23844562800515E-02;NS;NS; 5.64776610555136E-03; 3.10990774130048E-04;NS;NS;NS; 2.40965885689448E-06
336;609;6208;4270;6208;4270;6195;4267;^JX275032_Nigeria_Poliovirus-2;JX275194_Nigeria_Poliovirus-2;Unknown (JX275347_Nigeria_Poliovirus-2); 3.03968264790754E-03;NS;NS; 7.00400783221197E-04; 1.05696368313807E-02; 9.97199246631289E-06;NS;NS;NS
337;610;4791;6082;4791;6082;4778;6069;^OP137303_Israel_Poliovirus-3;Unknown (JX275302_Nigeria_Poliovirus-2);JX275187_Nigeria_Poliovirus-2; .019240571838624;NS;NS; 2.24799570217213E-05; 2.41665920266852E-05; 3.40958631009436E-10;NS;NS; 3.66289918241685E-02
338;616; 6281*;4093; 6281*;4093; 6265*;4090;^JX275377_Nigeria_Poliovirus-2;Unknown (JX275070_Nigeria_Poliovirus-2);JX275195_Nigeria_Poliovirus-2; 3.30397379569938E-03;NS; 1.37959607069208E-02; 1.38685905807622E-05; 7.03225574778374E-04; 8.63957174162874E-11;NS;NS;NS
339;622;4720;5219;4720;5219;4707;5206;^JX275128_Nigeria_Poliovirus-2;JX275032_Nigeria_Poliovirus-2;JX275137_Nigeria_Poliovirus-2; 8.5157762937131E-04;NS; 7.96963096287717E-04; 9.45038257906847E-10; 2.08983854483367E-05; 6.41971414764182E-25;NS;NS; 3.94775278770549E-09
340;626;5056; 6080*;5056; 6080*;5043; 6067*;^JX275073_Nigeria_Poliovirus-2;JX275145_Nigeria_Poliovirus-2;Unknown (OP137297_Israel_Poliovirus-3); 1.01107389377367E-02;NS; 1.94057593012518E-02; 2.33663249338568E-03; 4.16441715856089E-04; 4.9459567958727E-08;NS;NS;NS
341;627; 4145*;5953; 4145*;5953; 4142*;5940;^JX275025_Nigeria_Poliovirus-2;Unknown (JX275345_Nigeria_Poliovirus-2);JX275195_Nigeria_Poliovirus-2; 2.55623642263862E-02;NS;NS; 1.02158227243325E-03; 1.14780999573569E-03; 5.43118775220861E-07;NS;NS; 1.07127330993954E-02
342;628;2899;3796;2899;3796;2896;3793;^JX275153_Nigeria_Poliovirus-2;JX275023_Nigeria_Poliovirus-2;Unknown (JX275377_Nigeria_Poliovirus-2); 1.17243140621844E-15; 2.60943897424943E-18;NS; 7.03702936116352E-12; 5.17863356569114E-10; 2.21627464391312E-20;NS;NS;NS
343;629; 2788*;3312; 2788*;3312; 2785*;3309;^JX275189_Nigeria_Poliovirus-2;JX275007_Nigeria_Poliovirus-2;JX275377_Nigeria_Poliovirus-2; 1.18350100247556E-08; 2.47134323939186E-08; 4.8546430651238E-05; 1.97323584548625E-06; 9.01271556084298E-04; 1.96186940989091E-05;NS;NS;NS
344;632;5401;2467;5401;2467;5388;2464;JX275143_Nigeria_Poliovirus-2;ON596436_Nigeria_Poliovirus-2;OP137303_Israel_Poliovirus-3; 3.03820205663371E-74; 2.05357497386279E-81; 3.09256871941992E-05; 1.54098058636251E-35; 5.16772441804706E-27; 2.75836345490361E-60;NS;NS; 4.07726186146817E-09
345;641;6292; 2641*;6292; 2641*;6275; 2638*;^KX162682_Central-African;KX162680_Cameroon_Poliovirus-1;OP137301_Israel_Poliovirus-3; 1.35062920484053E-25; 1.79294736908122E-25;NS; 3.58265016788483E-13; 1.33353628693045E-12; 1.36004580551962E-26;NS;NS; 5.50428836432193E-06
346;643;4093;4842;4093;4842;4090;4829;^OP137292_Israel_Poliovirus-3;JX275258_Nigeria_Poliovirus-2;OP137286_Israel_Poliovirus-3; 2.77641668964969E-03; 3.35620992532693E-02;NS; 6.65238935823795E-11; 2.43175543560348E-04; 5.23300142913314E-19;NS;NS;NS
347;649;4369;6239;4358;6228;4366;6226;^MN914203_Malawi_Enterovirus-C;Unknown (OP137286_Israel_Poliovirus-3);OP137291_Israel_Poliovirus-3; 8.971135549154E-07; 1.15199453249159E-07;NS; 2.13837342503802E-10; 1.01842896555574E-06; 2.79573155814719E-28;NS;NS;NS
348;651;6291;4226;6291;4226;6274;4223;^OP137286_Israel_Poliovirus-3;OP137288_Israel_Poliovirus-3;OP137280_Israel_Sabin-likePoliovirus3; 7.2210625274857E-04; 1.28789693596754E-02; 1.33584610069304E-02; 1.07280881455488E-09; 4.47499886019553E-06; 1.95795973659719E-20;NS;NS;NS
349;653;5258; 2606*;5258; 2606*;5245; 2603*;^OP137308_Israel_Poliovirus-3;OP137291_Israel_Poliovirus-3;Unknown (JX275328_Nigeria_Poliovirus-2); 1.17051119068417E-02;NS;NS; 5.30627431604172E-06;NS; 1.78802998421907E-17;NS;NS;NS
350;655~;4903; 5748*;4903; 5748*;4890; 5735*;^OP137291_Israel_Poliovirus-3;OP137311_Israel_Poliovirus-3;Unknown (JX275283_Nigeria_Poliovirus-2); 2.63912381164979E-02;NS;NS;NS;NS; 1.63394130513801E-08;NS;NS;NS
351;663;2683;4094;2683;4094;2680;4091;^OP137286_Israel_Poliovirus-3;OP137297_Israel_Poliovirus-3;Unknown (OP137323_Israel_Poliovirus-3); 2.41022842133223E-05;NS;NS; 7.91935404400151E-11; 8.41840115775394E-04;NS;NS;NS;NS
352;667;5926; 6206*;5926; 6206*;5913; 6193*;PQ238720_USA_2018;MK105986_France_2018;Unknown (PQ238629_USA_2018); 8.68454395258411E-09; 5.54507613159672E-05;NS; 6.22982723930874E-03; 2.79272594147415E-03;NS;NS;NS; 8.15452372293635E-09
353;672;92;2472;92;2472;92;2469;JX275030_Nigeria_Poliovirus-2;ON596437_Nigeria_Poliovirus-2;KY941933_Nigeria_Poliovirus-3; 2.57546543455769E-82; 1.44058023991735E-100; 1.50205143473354E-70; 1.04809554593431E-38; 5.20920605296065E-30;NS;NS;NS; 1.23125727621853E-04
354;674; 2483*; 2772*; 2483*; 2772*; 2480*; 2769*;^JX275336_Nigeria_Poliovirus-2;JX275272_Nigeria_Poliovirus-2;Unknown (JX275183_Nigeria_Poliovirus-2); 8.16196415926747E-05; 5.00280030402145E-06;NS; 3.66498058651223E-05; 1.98642112947861E-02; 5.48394909087845E-10;NS;NS;NS
355;675;5401;91;5401;91;5388;91;^OP137297_Israel_Poliovirus-3;Unknown (JX275183_Nigeria_Poliovirus-2);JX275377_Nigeria_Poliovirus-2; 1.43289582666378E-04;NS;NS; 2.56989180423387E-04; 1.40792798053551E-04; 7.19193388497623E-08;NS;NS;NS
356;676~; 2518*;2830; 2518*;2830; 2515*;2827;^JX275151_Nigeria_Poliovirus-2;JX275321_Nigeria_Poliovirus-2;Unknown (JX275030_Nigeria_Poliovirus-2); 4.47078559075199E-04; 1.30309044456811E-02;NS; 1.65980918167545E-02; 4.36571824490125E-02; 1.57499413996716E-05;NS;NS;NS
357;678; 92*;2467; 92*;2467; 92*;2464;^JX275021_Nigeria_Poliovirus-2;HM107835_China_Poliovirus-2;KY941933_Nigeria_Poliovirus-3; 1.70989307065589E-86; 2.61589125786475E-105; 1.44575738902029E-69; 6.07380300175061E-40; 1.02225663186717E-28; 1.09792378512068E-61;NS;NS; 2.14135500230528E-05
358;681;2951;4122;2951;4122;2948;4119;^JX275377_Nigeria_Poliovirus-2;Unknown (JX275166_Nigeria_Poliovirus-2);JX275195_Nigeria_Poliovirus-2; 8.54718289440927E-04;NS; 2.57110717654631E-02; 2.68858062067927E-05; 3.09347819497552E-04; 1.68122771704885E-10;NS;NS;NS
359;682~;6210; 3315*;6210; 3315*;6197; 3312*;^JX275195_Nigeria_Poliovirus-2;JX275126_Nigeria_Poliovirus-2;JX275345_Nigeria_Poliovirus-2; 8.95758316452128E-04; 1.00047851556706E-04;NS;NS;NS; 1.00303656845443E-07;NS;NS;NS
360;683; 1103*; 2641*; 1103*; 2641*; 1103*; 2638*;^KX162684_Chad_Poliovirus-1;KX162680_Cameroon_Poliovirus-1;Unknown (DQ358078_Netherlands_Coxsackievirus-A20); 9.4690591428497E-24; 4.00888641016944E-26;NS; 1.51289633583098E-14; 1.35787229195139E-10; 1.43075940396E-27;NS;NS; 6.83090862486235E-03
361;686~;2661;2809;2661;2809;2658;2806;^KC954664_China_2009;OQ842417_USA_2010;Unknown (KP266568_China_2009); 3.39358906922642E-02;NS;NS;NS;NS; 1.86165253993427E-51;NS;NS;NS
362;687;92;2422;92;2422;92;2419;JX275169_Nigeria_Poliovirus-2;HM107835_China_Poliovirus-2;KY941933_Nigeria_Poliovirus-3; 2.00734687046577E-67; 1.44249537719443E-68; 5.87945505568515E-60; 5.09125044201087E-34; 2.70745469249604E-27; 4.17855421725146E-56;NS;NS; 7.90988488263977E-07
363;688; 4437*;6280; 4437*;6280; 4434*;6264;^JX275255_Nigeria_Poliovirus-2;JX275283_Nigeria_Poliovirus-2;Unknown (JX275272_Nigeria_Poliovirus-2); 1.07723262865784E-18; 1.25263335362768E-19; 5.07685045100327E-11; 6.69893974413643E-17; 3.95769658578972E-11; 4.92152071074381E-31;NS;NS;NS
364;693;92;2482;92;2482;92;2479;JX275348_Nigeria_Poliovirus-2;JX274991_Nigeria_Poliovirus-2;KY941933_Nigeria_Poliovirus-3; 1.47967983855914E-55; 1.5700705560284E-63;NS; 5.89924847817283E-32; 3.7429722587413E-28; 3.03786168010568E-52;NS;NS; 3.11336090481285E-04
